7.05	10.08	<font color='navy'><b>Sharan Strange</b></font>	Speaker
7.051	10.08	<font color='navy'>S-h-a-r-a-n, S-t-r-a-n-g-e.</font>	Transcription
16.39	28.63	<font color='#008080'><b>Reggie Young</b></font>	Speaker
16.391	28.63	<font color='#008080'>Let me ask you-- you have a great name for a poet first of all, but what was your calling in the literature? Was there a work that you read some time or another that made you know you</font>	Transcription
28.631	31.57	<font color='#008080'>wanted to have an ongoing relationship with literature?</font>	Transcription
33.1	48.19	<font color='navy'><b>Sharan Strange</b></font>	Speaker
33.101	48.19	<font color='navy'>I don&#39;t recall exactly a particular work. But I do remember at a very early age, just being fascinated with the way people spoke. Just fascinated with language. I grew up in the South.</font>	Transcription
48.491	61.06	<font color='navy'>I grew up in what&#39;s possibly a typical Southern family in the latter half of the 20th century, where we had extended family, if not right in the household, in the community.</font>	Transcription
61.391	73.93	<font color='navy'>I grew up around a number of people who were aunties and mothers and uncles and elders, and I was always fascinated by their conversations. The way they discussed their personal business as well as</font>	Transcription
73.931	75.19	<font color='navy'>the business of the world.</font>	Transcription
75.491	89.68	<font color='navy'>And so I think that first fascination with language and with the cadences of language, struck me and sort of got stored for a bit inside. And then when I went to school, and started reading things,</font>	Transcription
89.681	103.54	<font color='navy'>got exposed to literature through my classes, that&#39;s when I think I decided that this was something that was-- something for me, if not a calling that I would find myself involved in at some point,</font>	Transcription
103.721	108.91	<font color='navy'>but certainly something that I would stay fascinated with and connected with, for as-- you know, all my life.</font>	Transcription
109.12	120.01	<font color='#008080'><b>Reggie Young</b></font>	Speaker
109.121	120.01	<font color='#008080'>What about in terms of writing? When did you hear that call that told you that I&#39;m a writer, especially a poet? When did you discover that you are a poet?</font>	Transcription
122.92	132.91	<font color='navy'><b>Sharan Strange</b></font>	Speaker
122.921	132.91	<font color='navy'>That&#39;s hard to say, as well, but through <i>The Darkroom Collective</i>, which was a collective of writers of color that I became involved with in Cambridge. After college, after my</font>	Transcription
132.911	145.3	<font color='navy'>college years, I would say that I decided that this is serious business, and I&#39;m going to honor this voice that I had been capturing and chronicling in my journal for years, but hadn&#39;t thought of</font>	Transcription
