5.126866	8.846356	<font color="#008080">--B-o-l-d-e-n.</font>	Transcription
8.846356	14.877963	<font color="navy">Yusef Komunyakaa. K-o-m-u-n-y-a-k-a-a.</font>	Transcription
19.200614	21.211149	<font color="#008080">We're supposed to be looking at the camera?</font>	Transcription
21.211149	22.417471	Then, but from now on...	Transcription
22.417471	23.020631	We're not here.	Transcription
23.422739	24.830113	We're not here.	Transcription
24.126426	28.549604	That was the only time you get to look at the camera. Now just talk to each other.	Transcription
28.549604	48.453905	<font color="#008080">Well, Mr. Komunyakaa, I'm happy that you were able to come today. And I wanted to ask you about your poem, <i>Ode to a Drum</i>. I think that's one of the great classics of African American literature. How did that poem come about?</font>	Transcription, Question
48.453905	80.019313	<font color="navy">It's a poem of tribute to the idea of the drum. Especially since we think about the fact that drums were banned at one time in our history. What's interesting about it is this idea that-- of this object, but at the end of it, the object comes alive, and walks away.</font>	Transcription
80.019313	81.828795	Let me break you guys there.	Transcription
81.828795	85.146178	Okay. And, we're rolling.	Transcription
85.146178	95.500436	<font color="#008080">I wanted to ask you about your poem. <i>Ode to a Drum</i>. I think that's one of the great classics of African American literature. How did the poem come about?</font>	Transcription, Question
95.500436	118.018434	<font color="navy">Well the poem came out of the idea of the drum. In Congo Square, the drum had been banned for a time of slavery. And what interested me about this idea of the drum being an object,</font>	Transcription
118.018434	141.742752	<font color="navy">It could come alive, and and be instrumental in its necessary expression, passion as such. It's also a tribute to the idea of the daughter in the in the poem as well.</font>	Transcription
141.742752	158.731777	<font color="#008080">Okay, alright. I heard you read that I think in Atlanta in the late eighties. And if I'm not mistaken, you attributed that poem in part to an experience in Australia. Am I correct about that?</font>	Transcription
158.731777	174.212901	<font color="navy">What happened was that somebody wanted me to write a number of music related poems, to be read to music. And I meditated on the idea. And that's what I came up with.</font>	Transcription
174.212901	201.35513	<font color="navy">There are a number of my experiences in Australia, enliven my pursuit of certain images and certain ideas and poems. A good example of that would be <i>testimony</i>. Testimony came out of someone's request to write about Charlie Parker.</font>	Transcription
201.35513	224.375761	<font color="#008080">I see, I see. Alright, well there's that ending, 'Kadoom. Kadoom', which is kind of paralinguistic imagery there. You know, it seems that sound is actually part of the meaning of the poem at that point. Would you want to comment on that?</font>	Transcription, Question
224.375761	246.994286	<font color="navy">Well, it also takes us back to the idea that I have that, as far as language goes, it is our first music. It has a lot to do with how something is expressed. The body knows deeply what the language is about.</font>	Transcription
246.994286	266.395953	<font color="navy">And the body as an amplifier of emotions, images, and everything. I've seen an image somewhere that says the body remembers, and in the same way in the drum. The drum remembers life.</font>	Transcription
267.300694	285.49604	<font color="#008080">Well that's an interesting concept, because that suggests that, I mean what you're suggesting in terms of imagery coming from the body. And I've read where you've talked about poetry being integrally related to language itself.</font>	Transcription
285.49604	310.326154	<font color="#008080">You've talked about your grandmother's rhythms and you attribute your own sense of poetry to the cadence of the voice. You know, in traditional Western thought there is a split between the mind and the body-- that the two are mutually exclusive, and your comment there seems to counter that.</font>	Transcription
310.326154	323.394635	<font color="navy">Well, essentially, one is married to the other. It's all part of the same thing. Matter of fact, the whole development of the brain, I think, has everything to do with the dexterity of the hands.</font>	Transcription
323.394635	349.632123	<font color="navy">And that is still happening. That's why it's difficult for me to think of people composing poems on computers and typewriters. Because I just like the fact of that tactile relationship of the pen or pencil pressed against the paper, still sending signals to the brain.</font>	Transcription
349.632123	356.26689	<font color="#008080">I see. I see. Well have you read Kamau Brathwaite's recent work? Because he does a lot of experimenting--</font>	Transcription
356.166363	370.240112	<font color="navy">Matter of fact I have, I have. And I just read a poem of his in <i>Black Renaissance</i>, which is part of that collection. But I had the privilege of reading that collection early on.</font>	Transcription
370.240112	381.700164	<font color="#008080">How do you know when a poem is finished? You have a sense of feel, or what-- how do you, how can you tell?</font>	Transcription, Question
381.700164	384.01228	<font color="navy">Some poems tell me that they're finished.</font>	Transcription
385.017548	386.424922	<font color="#008080">They talk to you!</font>	Transcription
387.12861	406.429751	<font color="navy">They talk to me. But my process is quite improvisational. So I write everything. And then I begin to edit the poem down. Initially, the poem perhaps is 150 lines long, and I edit it down to 30 or 40 lines.</font>	Transcription
406.429751	428.545641	<font color="navy">And at the very end, I began to go back up through the poem from the bottom, realizing often that I've written past the most important, most provocative, ending. The poem shouldn't resolve, shouldn't be a resolution, is what I feel.</font>	Transcription
428.545641	446.137827	<font color="#008080">I see. I see. So does this have to do with the kinds of surprises, the kinds of foregrounding of implicit knowledge that's inscribed in the music of Thelonious Monk, say?</font>	Transcription, Question
446.137827	467.047396	<font color="navy">Yes, silence. Silence. I've said somewhere that Monk is a technician of silence. And silence is a part of music. One doesn't have music without silence. One doesn't have the properties of modulation without silence. So that's important.</font>	Transcription
467.047396	484.036421	<font color="navy">And what I feel in contemporary society-- often we don't have the capacity for solitude. So silence and solitude, all of that is part of the emotional chemistry of a piece.</font>	Transcription
484.036421	491.978036	<font color="#008080">Okay. Do you work on more than one poem at a time? And if you do, why is that?</font>	Transcription, Question
491.978036	509.469695	<font color="navy">I work on more than one collection at a time. Usually, usually I'm working on three collections at once, side by side. And it's more or less to keep myself earnest with my emotions, and passions.</font>	Transcription
509.469695	533.897701	<font color="navy">I have the ability to move from one thing to the next, and not carry over one to the other. And I don't know how that came about. I think perhaps it came about in my early writing, which was journalistic.</font>	Transcription
535.003496	536.712451	<font color="#008080">In the military.</font>	Transcription
536.712451	565.463108	<font color="navy">Military, yeah. Where I would cover a number of stories in a given day and not have one spill over into the other. It was defined, contained. But maybe the brain works that way anyway. I'm thinking, our capacity to handle information is definitely beyond the computer.</font>	Transcription
565.463108	567.875751	<font color="#008080">Beyond technology.</font>	Transcription
568.277858	569.685233	<font color="navy">Beyond technology.</font>	Transcription
569.283126	570.288394	<font color="#008080">The machine.</font>	Transcription
570.288394	572.097875	<font color="navy">The machine, yes.</font>	Transcription
572.097875	598.13431	<font color="#008080">Well, you know, you talk about-- that there's a need to remove the layers of facades and superficialities. That one's voice is already there, but you have to kind of remove the excess. Could you comment on how one does that? I'm sure it's individual but, you know--</font>	Transcription, Question
