5.605908	9.610127	<font color=&#34;#008080&#34;>-a, D-u capital E-w-a, J-o-n-e-s.</font>	Transcription
10.718988	19.035444	<font color=&#34;teal&#34;>Elizabeth Alexander. E-l-i-z-a-b-e-t-h, A-l-e-x-a-n-d-e-r.</font>	Transcription
20.575529	33.389032	<font color=&#34;#008080&#34;>All right. Wow. Elizabeth, I wanted to start out by asking you a question that it seems to me your work really bears to mind. And it's about the relationship between your work and the African diaspora,</font>	Transcription
33.389032	42.383125	<font color=&#34;#008080&#34;>particularly one of the things that I noticed about your work is that you really kind of both embrace ideas about race, but also question the boundaries of it.</font>	Transcription
42.383125	66.377641	<font color=&#34;#008080&#34;>If you think about 'West Indian Primer', where you're talking about both your Jamaican ancestry and then how it moves beyond that, or if you think about your poem for Nelson Mandela, where you start talking about, you know, 'I am a black daughter', but in a way that connects to the South African president, and in an interesting way. Could you talk about the relationship between your work and a diasporic context? </font>	Transcription, Question
66.624055	93.729542	<font color=&#34;teal&#34;>Well, that reading that you just gave of that line, 'I am a black daughter', that break-- It seems to me, and I'm just now thinking about this, echoes Gwendolyn Brooks' great poem where she talks about 'I am a Black', 'I am one of the Blacks', where she feels that to be called merely African American is limiting and almost in a way euphemistic. That it skips over an understanding of how we are all connected to each other, across the globe.</font>	Transcription
93.729542	121.112244	<font color=&#34;teal&#34;>Sometimes in our actual histories, in the case of the Jamaican grandfather there's a lot of personal history in my poems as you know, or in newer poems. My husband is from Eritrea, so now I have a whole East African connection going on. But in a way, I think what we learn from those real histories is how complicated and sometimes nostalgic and sometimes full of fantasy, the idea of Africa is for us.</font>	Transcription
121.112244	133.80254	<font color=&#34;teal&#34;>You know, and I think that as African Americans, we have always tried to connect to that idea, because so much has been cut off and interrupted. But at the same time, it's a fantasy,</font>	Transcription
133.80254	151.66752	<font color=&#34;teal&#34;>though I think it is a heartfelt and beautiful fantasy that has led many of us, myself included, to reading and learning and reaching out and exploration and trying to theorize in very personal terms: What does it mean to be African people in this diaspora all across the world?</font>	Transcription
151.66752	172.581867	<font color=&#34;teal&#34;>I think also one of the beautiful realities of the United States, and for me of growing up in Washington, DC, is that you met Black people from all over the world. And that's something I touch on as well, something that was very important to my own African American grandmother growing up in Washington, DC.</font>	Transcription
