4.672972	11.90854	<font color="#008080">My name is Tyehimba Jess. T-y-e-h-i-m-b-a last name J-e-s-s.</font>	Transcription
12.26027	20.14905	<font color="navy">My name is Kwame Dawes. K-w-a-m-e D-a-w-</font>	Transcription
22.711647	36.680315	<font color="#008080">Okay. Kwame, Tell me. Your poem 'Ward 21'. It was written for your brother. It seems like that would have been a painful poem to write.</font>	Transcription, Question
36.680315	59.894431	<font color="navy">It's a part of a longer sequence. And it was difficult to write. It's funny, because I guess when I come to write the poem, or the process of writing the poem, you're-- I'm so sort of taken up with the processes, just the idea of the form and trying to make the thing work, that the pain of it doesn't really hit until I'm looking back at the poem and starting to contemplate it.</font>	Transcription
59.894431	78.435577	<font color="navy">And I'm thinking of an audience, I'm thinking of him reading it, and I'm thinking of sort of being around family who may know the poem and so on. But the stuff that is behind the poem-- that is the history, the narrative history-- is clearly painful. I mean, it was a difficult time.</font>	Transcription
78.435577	96.072276	<font color="navy">Because the poem tells, is part of a longer narrative about, about my younger brother who had a nervous breakdown at age 14. And the discovery 20 years later that what had happened was he was actually suffering from post traumatic stress because of some abusive situation he had been caught in.</font>	Transcription
96.072276	121.045038	<font color="navy">And so the, the shock of discovering that years later sent me to write the poems. In fact, I started write-- I wrote a memoir, I wrote a whole book, which I haven't published yet, but I wrote a whole book first. And then I said, you know, probably, I should do this with poetry, which might be, might give me a chance to come at it from different directions and different angles. Yeah.</font>	Transcription
121.045038	122.652942	<font color="#008080">So has he read the poems?</font>	Transcription, Question
122.652942	139.887665	<font color="navy">He hasn't read the poems. I think he's read a couple of the poems. And so, but you know, we talk about it so. I mean he's, I guess he's cool with it. There's a certain kind of notoriety that comes with it as well. Everybody in the world is gonna know about him, so I guess that's good.</font>	Transcription
139.887665	165.815121	<font color="navy">But it is as much his story. And there's a great statement that a number of memoir writers have said, and, and I tie this with memoir, even though this is a sequence of poems, because the problems of deciding what to write about, and the problems of writing about something that is rooted in a personal history is common with both the poems and with a memoir, I think.</font>	Transcription
165.815121	187.371086	<font color="navy">And one of the interesting things that I was encouraged by a number of memoir writers is when they tell you that look, remember, this is your story. It's his story, but it's really my story. Because part of the tension of those poems is the way that I reacted to what he went through.</font>	Transcription
187.371086	218.323242	<font color="navy">Right, this combination of, I mean, anybody who has been through a situation where we, you have some kind of mental illness in the family, it's a combination of deep sorrow, incredible anger, because of this disruption, and guilt. All of those emotions are tied to me more than anything else, so that his emotional space is not as mine as mine is in the poem. So it's really my story. And so I guess I'm the one who comes off bad.</font>	Transcription
218.323242	218.926206	<font color="#008080">Human.</font>	Transcription
218.926206	225.257329	<font color="navy">Human Yeah, same thing.</font>	Transcription
225.257329	231.538205	<font color="#008080">When you wrote it, I mean, did you have any idea of how it would be received outside of your family?</font>	Transcription, Question
231.538205	247.868482	<font color="navy">No, no, no. And I don't think about that when I'm writing or when I'm working on something. I think about that only when I'm thinking of publishing it. And that's when I'm organizing it and when I'm trying to see how to cast it and so on so forth. And I'm thinking about that now.</font>	Transcription
247.868482	279.272861	<font color="navy">But I don't panic too much about that question. I really don't. Probably because there's no shame in it for us, you see, and that's, to me, the most important thing. And there's something liberating about-- the story ends well, put it that way. You know, it ends positively in that sense, that there's stability and there's truth, we come to truth. And that to me is very important. Yeah.</font>	Transcription
